feature,mean_rank_corr_with_z_hat,abs_mean_rank_corr,t_stat,positive_rate
z_amount,-0.7442687316751655,0.7442687316751655,-124.99166428496521,0.0
z_pv_amount_mean_1m,-0.7346847762634254,0.7346847762634254,-65.47966960112389,0.0
z_pv_amount_mean_3m,-0.6939129654368739,0.6939129654368739,-65.96369004394262,0.0
z_pv_amount_mean_6m,-0.6593623344076208,0.6593623344076208,-68.81899057908754,0.0
z_pv_amount_mean_12m,-0.6068628681433555,0.6068628681433555,-64.75218315909055,0.0
z_nmv,-0.5548423241818432,0.5548423241818432,-63.58965697846832,0.0
z_volume,-0.548161116494176,0.548161116494176,-68.6627186013924,0.0
z_pv_mom_12m,-0.5011743059049553,0.5011743059049553,-43.46194621831395,0.0
z_pv_mom_6m,-0.3853287551768506,0.3853287551768506,-27.956453820284935,0.0
z_pv_vol_1m,-0.3756081313600616,0.3756081313600616,-19.181564983192054,0.045454545454545456
z_pv_vol_3m,-0.36847069267246385,0.36847069267246385,-17.994021274250404,0.07954545454545454
z_pv_turnover_1m,-0.3588836031606407,0.3588836031606407,-29.48179396762814,0.0
z_rel_net_profit_ttm_to_nmv,0.34827573586741817,0.34827573586741817,29.86177578347324,1.0
z_pv_vol_6m,-0.34482889081184515,0.34482889081184515,-17.268387218430984,0.09090909090909091
z_rel_ebit_q_to_nmv,0.3437035711529908,0.3437035711529908,32.71422375925768,1.0
z_rel_net_operate_cash_flow_ttm_to_nmv,0.32561691723052283,0.32561691723052283,47.978725883497184,1.0
z_pv_turnover_3m,-0.32124230741140525,0.32124230741140525,-28.307929186407204,0.0
z_pv_mom_3m,-0.3179271743798115,0.3179271743798115,-23.155718045154575,0.0
z_pv_vol_12m,-0.3022410798498996,0.3022410798498996,-17.036800556525115,0.07954545454545454
z_rel_total_assets_to_nmv,0.28519711522049723,0.28519711522049723,24.84705529329238,1.0
z_total_shareholder_equity,-0.2708427765125273,0.2708427765125273,-29.38435585633719,0.0
z_pv_turnover_ratio_1m_12m,-0.25947884122998793,0.25947884122998793,-17.25318476874287,0.011363636363636364
z_gross_profit_ttm,-0.2552089885153403,0.2552089885153403,-37.16963429387015,0.0
z_money,-0.2526868099538522,0.2526868099538522,-31.390839124038973,0.0
z_pv_turnover_12m,-0.24674386321148176,0.24674386321148176,-27.354729038895464,0.0
z_rel_gross_profit_q_to_nmv,0.2447002292105525,0.2447002292105525,25.629654096463003,1.0
z_pv_mom_1m,-0.2428361967462123,0.2428361967462123,-18.654008687950693,0.011363636363636364
z_total_current_assets,-0.2410555591881873,0.2410555591881873,-25.336659743406113,0.0
z_ebitda,-0.2381412837014916,0.2381412837014916,-34.0003991762061,0.0
z_total_non_current_assets,-0.23467868234089168,0.23467868234089168,-23.205623997707622,0.0
z_pv_vol_ratio_1m_12m,-0.23305269281226837,0.23305269281226837,-14.245663083371673,0.07954545454545454
z_rel_net_operate_cash_flow_q_to_nmv,0.22157127435747706,0.22157127435747706,42.152769734336886,1.0
z_rel_operating_revenue_ttm_to_nmv,0.2166720605404813,0.2166720605404813,26.949104587495,1.0
z_net_profit_cut_q,-0.21175498525265005,0.21175498525265005,-33.19873065263327,0.0
z_total_current_liability,-0.20591671061594077,0.20591671061594077,-20.23399040413896,0.0
z_net_profit_cut_ttm,-0.20196892964473412,0.20196892964473412,-36.2526335057221,0.0
z_rel_operating_revenue_ttm_to_inventories,-0.2003201151909584,0.2003201151909584,-22.573540784321253,0.0
z_intangible_assets,-0.1908647117961544,0.1908647117961544,-23.04700778292414,0.0
z_operating_cost_q,-0.18944089194544877,0.18944089194544877,-20.030287268010046,0.011363636363636364
z_net_asset_gr,-0.1840156551454001,0.1840156551454001,-30.52093188342215,0.0
z_account_receivable,-0.1832703541566091,0.1832703541566091,-28.267173341366547,0.0
z_total_non_current_liability,-0.18040776629066174,0.18040776629066174,-17.738918903205384,0.03409090909090909
z_ebitda_q,-0.1794559860616153,0.1794559860616153,-20.025985971183673,0.0
z_accounts_payable,-0.17847887984132108,0.17847887984132108,-18.221379444673687,0.03409090909090909
z_fixed_assets,-0.17801368155897973,0.17801368155897973,-18.978269171040658,0.011363636363636364
z_net_operate_cash_flow_ttm,-0.17598806502608008,0.17598806502608008,-35.35100294042412,0.0
z_rel_operating_revenue_ttm_to_account_receivable,-0.15701128509053053,0.15701128509053053,-18.103729900470277,0.03409090909090909
z_rel_total_liability_to_equity,-0.15130082421276753,0.15130082421276753,-13.610805113887418,0.09090909090909091
z_rel_operating_revenue_ttm_to_fixed_assets,-0.14963718753891023,0.14963718753891023,-23.46466513947687,0.0
z_net_invest_cash_flow_ttm,0.1453102168549706,0.1453102168549706,24.053648089718777,1.0
z_inventories,-0.13973150942216048,0.13973150942216048,-18.5027720938027,0.022727272727272728
z_net_profit_gr,-0.1364346622181409,0.1364346622181409,-21.176201703963837,0.011363636363636364
z_eps_gr_ttm,-0.13636998567496048,0.13636998567496048,-30.135513160474172,0.011363636363636364
z_rel_money_to_total_current_liability,-0.13601495923986442,0.13601495923986442,-28.346728864944026,0.0
z_net_invest_cash_flow,0.12664400376824006,0.12664400376824006,22.773305104203992,1.0
z_eps_gr,-0.12452937597035882,0.12452937597035882,-20.32962341962654,0.011363636363636364
z_rel_total_current_assets_to_total_current_liability,-0.11188105016660693,0.11188105016660693,-23.40768387166369,0.0
z_net_invest_cash_flow_q,0.10970294512187256,0.10970294512187256,21.32731737854701,0.9772727272727273
z_current_assets_gr,-0.10482500396324611,0.10482500396324611,-19.35107371798184,0.0
z_rel_gross_profit_ttm_to_operating_revenue_ttm,-0.10450079081178038,0.10450079081178038,-12.118954046236183,0.07954545454545454
z_net_operate_cash_flow,-0.09961292913935393,0.09961292913935393,-18.149327918502383,0.0
z_oper_revenue_gr_ttm,-0.08974085776110252,0.08974085776110252,-11.897874776373405,0.07954545454545454
z_rel_gross_profit_q_to_operating_revenue_q,-0.08192757310773122,0.08192757310773122,-11.53633507214455,0.10227272727272728
z_eps_gr_q,-0.07960427593864025,0.07960427593864025,-13.373493750748489,0.06818181818181818
z_rel_total_liability_to_total_assets,0.07821824471709742,0.07821824471709742,11.336312929402903,0.8863636363636364
z_oper_revenue_gr,-0.07201027079354407,0.07201027079354407,-8.58995816923908,0.20454545454545456
z_fcff_ttm,-0.06743117700314837,0.06743117700314837,-18.405998642424816,0.011363636363636364
z_rel_money_to_total_assets,-0.06402642127286205,0.06402642127286205,-15.364297511875229,0.022727272727272728
z_rel_net_operate_cash_flow_q_to_net_profit_q,-0.05673681649182982,0.05673681649182982,-12.157758410433186,0.045454545454545456
z_rel_operating_cost_q_to_operating_revenue_q,0.054691702393576194,0.054691702393576194,4.974290735372676,0.7613636363636364
z_rel_inventories_to_total_assets,0.052527602148374125,0.052527602148374125,9.413075226622887,0.8295454545454546
z_rel_operating_revenue_ttm_to_total_assets,-0.05027147045932059,0.05027147045932059,-6.064479290043143,0.2840909090909091
z_rel_ebit_q_to_total_assets,0.04861633876140813,0.04861633876140813,5.340901705342677,0.7954545454545454
z_rel_operating_revenue_ttm_to_total_current_assets,-0.04789372753106802,0.04789372753106802,-7.7452161529346455,0.2159090909090909
z_oper_revenue_gr_q,-0.041662650705142974,0.041662650705142974,-4.950261214206482,0.3181818181818182
z_rel_net_profit_ttm_to_equity,0.04049198216048514,0.04049198216048514,3.734852000645222,0.7613636363636364
z_rel_net_profit_ttm_to_total_assets,0.035251123988322225,0.035251123988322225,3.3696110726860247,0.75
z_rel_net_profit_q_to_operating_revenue_q,0.029750358768736284,0.029750358768736284,3.456095329087359,0.5795454545454546
z_rel_net_profit_ttm_to_operating_revenue_ttm,0.027766626475540766,0.027766626475540766,2.7496359924355684,0.6363636363636364
z_fcff,-0.018697753923443552,0.018697753923443552,-4.439609932574969,0.3522727272727273
z_inventory_gr,-0.018061961849239083,0.018061961849239083,-3.6603269916341334,0.3977272727272727
z_net_finance_cash_flow_q,0.01244502761246986,0.01244502761246986,2.592989489205722,0.6590909090909091
z_current_liability_gr,0.011512573778161995,0.011512573778161995,2.191215070307596,0.6136363636363636
z_net_finance_cash_flow_ttm,0.008086357366003055,0.008086357366003055,1.5505853651210535,0.5113636363636364
z_financial_announcement_recency_days,-0.007762186063332069,0.007762186063332069,-1.46030441613333,0.4090909090909091
z_rel_net_profit_q_to_equity,0.003960252722759487,0.003960252722759487,0.4696175036083021,0.6136363636363636
z_net_finance_cash_flow,-0.0026433002237414827,0.0026433002237414827,-0.584498273875293,0.42045454545454547
