lag,avg_weight_low_z_hat,avg_weight_high_z_hat
252,0.0043619536,0.0042882003
251,0.0042460468,0.0043753767
250,0.00414605,0.0044107563
249,0.0043760743,0.004310105
248,0.0043320777,0.004321187
247,0.004477938,0.00427109
246,0.0043296046,0.0043196515
245,0.00435894,0.004353446
244,0.004319507,0.0043840013
243,0.004215712,0.004402628
242,0.004358014,0.004330538
241,0.004165575,0.0044074696
240,0.0043082763,0.0043299915
239,0.0043116794,0.0043194722
238,0.0046514003,0.0042346516
237,0.0043081488,0.004326327
236,0.0044017574,0.004297632
235,0.0043231174,0.0043276222
234,0.0041863862,0.0043696295
233,0.0042716437,0.004326255
232,0.0043132375,0.0043359483
231,0.0044267196,0.0042899265
230,0.0042183697,0.004371889
229,0.0043615527,0.0043260213
228,0.004327371,0.004298739
227,0.004450271,0.0042785006
226,0.0044801882,0.004286631
225,0.0043670074,0.004298774
224,0.004355103,0.004343831
223,0.004220896,0.004373758
222,0.0042505777,0.0044207694
221,0.0041207974,0.004430082
220,0.0043090153,0.0043249014
219,0.00427771,0.0043510394
218,0.0044457624,0.0042759473
217,0.004385559,0.0043228474
216,0.004580309,0.004279083
215,0.0043087006,0.004332779
214,0.004316276,0.004330728
213,0.004226546,0.0043755765
212,0.004264793,0.004335951
211,0.004310395,0.0043285973
210,0.004359497,0.004291674
209,0.0043185544,0.004343034
208,0.004320563,0.00431462
207,0.004425393,0.0042849183
206,0.0044237315,0.0042745164
205,0.0042481753,0.0043545226
204,0.004412073,0.004283973
203,0.004300182,0.0043434533
202,0.004531729,0.004311595
201,0.00419427,0.004445437
200,0.0043590376,0.0043634977
199,0.0043539475,0.0043289964
198,0.0042527416,0.0043592392
197,0.0043669133,0.004308766
196,0.004275062,0.004344626
195,0.00440815,0.0043083774
194,0.004272593,0.0043244334
193,0.0043427655,0.0042925077
192,0.0044427393,0.0042806463
191,0.004188602,0.004390819
190,0.004204605,0.0043567037
189,0.004367277,0.004295862
188,0.004331983,0.004303384
187,0.0044593234,0.00427643
186,0.004372151,0.0043046316
185,0.0042640497,0.004332977
184,0.0044562067,0.0042952844
183,0.0041814256,0.004362741
182,0.004611639,0.004295786
181,0.0041776584,0.004400844
180,0.004322025,0.0043414524
179,0.00430013,0.004348866
178,0.0042968653,0.0043784603
177,0.0042990865,0.00436703
176,0.0044005504,0.004296333
175,0.004288469,0.0043415036
174,0.004454434,0.0042981105
173,0.004184132,0.0043879272
172,0.0042916695,0.0043040263
171,0.004378301,0.004277607
170,0.0042121825,0.0043485425
169,0.0043222783,0.0043220916
168,0.0043204,0.004302521
167,0.0045207427,0.0042476933
166,0.0043731323,0.0042950767
165,0.0043510925,0.00432122
164,0.004333345,0.0043402747
163,0.0042609777,0.0043563554
162,0.0041373777,0.0043854252
161,0.0041922745,0.0043419194
160,0.0042057782,0.004365061
159,0.0046753297,0.004276537
158,0.004330194,0.0043787826
157,0.004341656,0.004377207
156,0.0044771144,0.004293434
155,0.0042801457,0.004346823
154,0.0042733024,0.0043331906
153,0.0042883796,0.0043541263
152,0.004347709,0.004337134
151,0.0041979714,0.004365663
150,0.00433834,0.00429194
149,0.004292927,0.0043119187
148,0.0043803747,0.0042977487
147,0.0044507664,0.004282238
146,0.0042658057,0.004336894
145,0.004269222,0.0043248353
144,0.0043807714,0.0042985794
143,0.004369423,0.004330728
142,0.0043932367,0.004306295
141,0.0041762074,0.0043800646
140,0.0043046754,0.0043360763
139,0.0044190353,0.004384404
138,0.004257335,0.0043976083
137,0.004392155,0.0043307254
136,0.00437617,0.004319331
135,0.0043671844,0.004296839
134,0.004246373,0.004377994
133,0.0043049916,0.0043292623
132,0.004243931,0.004342788
131,0.004231059,0.0043581957
130,0.004248242,0.0043489924
129,0.0042738207,0.0043245815
128,0.0044246824,0.004287623
127,0.0043175635,0.004293878
126,0.004386519,0.0042960234
125,0.0043414854,0.004311973
124,0.0043592225,0.0043029943
123,0.0044104764,0.004286382
122,0.0044224844,0.004321498
121,0.004343386,0.0043574288
120,0.0043265596,0.004348549
119,0.0042528044,0.0043694284
118,0.004228597,0.004411879
117,0.0042251963,0.0043918528
116,0.0043881685,0.004315074
115,0.004434354,0.004291269
114,0.0043788366,0.004307563
113,0.0042499425,0.0043329396
112,0.0042823707,0.004346147
111,0.004152142,0.0043813987
110,0.0043281107,0.004298923
109,0.0044330535,0.00427655
108,0.0043191137,0.0043411558
107,0.0043484876,0.0043148077
106,0.004368995,0.0043104263
105,0.0043411986,0.0042958255
104,0.004298841,0.0043612514
103,0.0042650313,0.004327757
102,0.0042550494,0.004328396
101,0.0042782575,0.0043340945
100,0.0045052506,0.0043014656
99,0.004325897,0.0043348954
98,0.004317349,0.00435776
97,0.0043169917,0.0043619927
96,0.0041570966,0.004384383
95,0.0044764876,0.0042970274
94,0.0043084864,0.004324809
93,0.0043085655,0.0043323683
92,0.00433098,0.0043107593
91,0.0042865076,0.0043071555
90,0.0043260073,0.004306141
89,0.004340427,0.0043207067
88,0.004386257,0.0043191775
87,0.004283584,0.0043227966
86,0.004341106,0.004316417
85,0.0043257214,0.004317481
84,0.004384602,0.0042969747
83,0.0043238667,0.004338362
82,0.004176535,0.004349335
81,0.0043597156,0.0043170983
80,0.0042677084,0.004355124
79,0.0044870824,0.0043571778
78,0.0043651788,0.0043742624
77,0.004392493,0.0043216255
76,0.0042939004,0.0043439106
75,0.0044251536,0.004297042
74,0.0042143743,0.004351631
73,0.004317903,0.004314832
72,0.004315911,0.0043079876
71,0.0042492384,0.0043460336
70,0.0042938893,0.004331058
69,0.0042405627,0.0043595126
68,0.0042832415,0.0043308386
67,0.0043415907,0.004312412
66,0.004216534,0.004338078
65,0.004387893,0.0043030307
64,0.0043361643,0.004303867
63,0.0044402336,0.0042934553
62,0.004424929,0.004306765
61,0.004365679,0.0043397774
60,0.004185145,0.0043683876
59,0.00423449,0.0043530427
58,0.0041931127,0.004347052
57,0.004221578,0.004362959
56,0.004709248,0.0042844955
55,0.0043253778,0.004321161
54,0.004317718,0.0043374156
53,0.004335674,0.0043209963
52,0.004265225,0.004332057
51,0.0042577013,0.004343459
50,0.0043604155,0.0042935186
49,0.004370097,0.004313832
48,0.004244486,0.004355129
47,0.004209541,0.0043520997
46,0.004344371,0.0043294546
45,0.004496425,0.0042561963
44,0.0043351,0.004322904
43,0.0043328702,0.004322768
42,0.0045115426,0.0042588594
41,0.0043614963,0.0043270946
40,0.004235223,0.004336655
39,0.0041430118,0.004393875
38,0.0042423643,0.004370185
37,0.0044082557,0.0042885933
36,0.0047039706,0.0042903787
35,0.0042699277,0.004350101
34,0.0042814203,0.0043256725
33,0.0044522397,0.0042881398
32,0.0043180473,0.0043333876
31,0.00442189,0.0042721434
30,0.0042494168,0.0043655834
29,0.00426115,0.0043344162
28,0.004242082,0.0043354155
27,0.004375118,0.0042947195
26,0.0043017333,0.0043145795
25,0.0044077747,0.0043095318
24,0.00434164,0.004303906
23,0.0042285277,0.0043382514
22,0.0044733975,0.0042714695
